,Zone1,Zone2,Zone3,Zone4,
Sun Jan 07 00:00:00 CST 2018,1627,1660,1634,1663,
Sun Jan 07 01:00:00 CST 2018,374,417,439,409,
Sun Jan 07 02:00:00 CST 2018,71,86,88,78,
Sun Jan 07 03:00:00 CST 2018,15,12,9,14,
Sun Jan 07 04:00:00 CST 2018,8,8,9,6,
Sun Jan 07 05:00:00 CST 2018,58,60,63,60,
Sun Jan 07 06:00:00 CST 2018,308,293,299,296,
Sun Jan 07 07:00:00 CST 2018,1338,1279,1248,1197,
Sun Jan 07 08:00:00 CST 2018,3678,3625,3700,3517,
Sun Jan 07 09:00:00 CST 2018,7777,7887,7966,7820,
Sun Jan 07 10:00:00 CST 2018,12401,12611,12593,12484,
Sun Jan 07 11:00:00 CST 2018,14680,14833,14831,14578,
Sun Jan 07 12:00:00 CST 2018,12424,12573,12609,12456,
Sun Jan 07 13:00:00 CST 2018,7801,7864,7968,7793,
Sun Jan 07 14:00:00 CST 2018,3613,3682,3729,3684,
Sun Jan 07 15:00:00 CST 2018,1828,1897,1846,1885,
Sun Jan 07 16:00:00 CST 2018,6456,6515,6456,6479,
Sun Jan 07 17:00:00 CST 2018,17277,17528,17685,17374,
Sun Jan 07 18:00:00 CST 2018,15025,14882,15025,15021,
Sun Jan 07 19:00:00 CST 2018,16858,17392,16942,16875,
Sun Jan 07 20:00:00 CST 2018,19514,19590,19616,19300,
Sun Jan 07 21:00:00 CST 2018,16748,16552,16806,16478,
Sun Jan 07 22:00:00 CST 2018,10505,10535,10416,10461,
Sun Jan 07 23:00:00 CST 2018,4820,4900,4796,4901,
Mon Jan 08 00:00:00 CST 2018,1673,1720,1647,1618,
Mon Jan 08 01:00:00 CST 2018,409,460,396,405,
Mon Jan 08 02:00:00 CST 2018,62,85,79,85,
Mon Jan 08 03:00:00 CST 2018,13,8,6,15,
Mon Jan 08 04:00:00 CST 2018,8,5,9,5,
Mon Jan 08 05:00:00 CST 2018,63,67,50,62,
Mon Jan 08 06:00:00 CST 2018,247,341,310,294,
Mon Jan 08 07:00:00 CST 2018,1210,1214,1252,1253,
Mon Jan 08 08:00:00 CST 2018,3618,3719,3838,3664,
Mon Jan 08 09:00:00 CST 2018,7839,7817,8078,7699,
Mon Jan 08 10:00:00 CST 2018,12405,12792,12882,12616,
Mon Jan 08 11:00:00 CST 2018,14421,15137,14765,14728,
Mon Jan 08 12:00:00 CST 2018,12480,12842,12746,12607,
Mon Jan 08 13:00:00 CST 2018,7745,8045,8257,7789,
Mon Jan 08 14:00:00 CST 2018,3606,3799,3684,3863,
Mon Jan 08 15:00:00 CST 2018,1823,1895,1831,1931,
Mon Jan 08 16:00:00 CST 2018,6384,6577,6470,6452,
Mon Jan 08 17:00:00 CST 2018,17161,17794,17937,17393,
Mon Jan 08 18:00:00 CST 2018,14941,15349,15335,15099,
Mon Jan 08 19:00:00 CST 2018,16629,17238,17480,16841,
Mon Jan 08 20:00:00 CST 2018,18907,19914,19883,19278,
Mon Jan 08 21:00:00 CST 2018,16343,17113,16932,16577,
Mon Jan 08 22:00:00 CST 2018,10373,10732,10785,10530,
Mon Jan 08 23:00:00 CST 2018,4737,4922,5052,4975,
Tue Jan 09 00:00:00 CST 2018,1651,1666,1661,1654,
Tue Jan 09 01:00:00 CST 2018,450,413,402,406,
Tue Jan 09 02:00:00 CST 2018,78,87,80,65,
Tue Jan 09 03:00:00 CST 2018,10,12,9,10,
Tue Jan 09 04:00:00 CST 2018,8,8,8,11,
Tue Jan 09 05:00:00 CST 2018,49,56,62,53,
Tue Jan 09 06:00:00 CST 2018,321,316,290,288,
Tue Jan 09 07:00:00 CST 2018,1266,1274,1257,1252,
Tue Jan 09 08:00:00 CST 2018,3641,3565,3519,3634,
Tue Jan 09 09:00:00 CST 2018,7772,8071,8007,7827,
Tue Jan 09 10:00:00 CST 2018,12589,12513,12365,12516,
Tue Jan 09 11:00:00 CST 2018,14810,14924,14360,14438,
Tue Jan 09 12:00:00 CST 2018,12313,12579,12368,12603,
Tue Jan 09 13:00:00 CST 2018,7963,7919,7775,7735,
Tue Jan 09 14:00:00 CST 2018,3724,3807,3676,3710,
Tue Jan 09 15:00:00 CST 2018,1783,1968,1815,1853,
Tue Jan 09 16:00:00 CST 2018,6455,6459,6364,6468,
Tue Jan 09 17:00:00 CST 2018,17511,17637,16837,17418,
Tue Jan 09 18:00:00 CST 2018,15102,15180,14732,15020,
Tue Jan 09 19:00:00 CST 2018,16821,17085,16518,16815,
Tue Jan 09 20:00:00 CST 2018,19446,19800,19115,19336,
Tue Jan 09 21:00:00 CST 2018,16802,16795,16292,16456,
Tue Jan 09 22:00:00 CST 2018,10643,10545,10278,10372,
Tue Jan 09 23:00:00 CST 2018,4975,4985,4825,4905,
Wed Jan 10 00:00:00 CST 2018,1679,1717,1641,1680,
Wed Jan 10 01:00:00 CST 2018,410,412,439,429,
Wed Jan 10 02:00:00 CST 2018,78,78,67,81,
Wed Jan 10 03:00:00 CST 2018,11,14,9,9,
Wed Jan 10 04:00:00 CST 2018,11,7,6,12,
Wed Jan 10 05:00:00 CST 2018,54,50,60,58,
Wed Jan 10 06:00:00 CST 2018,343,294,312,306,
Wed Jan 10 07:00:00 CST 2018,1197,1218,1231,1244,
Wed Jan 10 08:00:00 CST 2018,3676,3661,3677,3571,
Wed Jan 10 09:00:00 CST 2018,7962,7927,7934,7767,
Wed Jan 10 10:00:00 CST 2018,12654,12352,12293,12521,
Wed Jan 10 11:00:00 CST 2018,14444,14658,14732,14600,
Wed Jan 10 12:00:00 CST 2018,12321,12469,12659,12612,
Wed Jan 10 13:00:00 CST 2018,7854,7853,7940,7795,
Wed Jan 10 14:00:00 CST 2018,3689,3671,3758,3778,
Wed Jan 10 15:00:00 CST 2018,1874,1856,1925,1915,
Wed Jan 10 16:00:00 CST 2018,6369,6465,6395,6473,
Wed Jan 10 17:00:00 CST 2018,17114,17257,17261,17507,
Wed Jan 10 18:00:00 CST 2018,14847,14787,14955,15250,
Wed Jan 10 19:00:00 CST 2018,17126,17010,16912,16839,
Wed Jan 10 20:00:00 CST 2018,19305,19617,19435,19535,
Wed Jan 10 21:00:00 CST 2018,16373,16378,16582,16876,
Wed Jan 10 22:00:00 CST 2018,10550,10674,10581,10437,
Wed Jan 10 23:00:00 CST 2018,4878,4821,4881,4832,
Thu Jan 11 00:00:00 CST 2018,1623,1670,1693,1630,
Thu Jan 11 01:00:00 CST 2018,373,409,411,421,
Thu Jan 11 02:00:00 CST 2018,75,75,62,64,
Thu Jan 11 03:00:00 CST 2018,10,9,8,17,
Thu Jan 11 04:00:00 CST 2018,12,7,5,13,
Thu Jan 11 05:00:00 CST 2018,53,36,54,73,
Thu Jan 11 06:00:00 CST 2018,328,298,299,327,
Thu Jan 11 07:00:00 CST 2018,1272,1246,1263,1252,
